['-0.87', '1.89', '3.00']
['-1.10', '0.23', '4.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['0.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['1.00', '1.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['0.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['0.51', '0.70', '6.00']
['2.00', '1.00', '1.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['1.00', '1.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['-0.53', '0.99', '4.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['1.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['1.00', '1.00', '1.00']
['-1.10', '0.23', '4.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['1.00', '1.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['-0.53', '0.99', '4.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['1.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['-0.11', '-0.13', '6.00']
['2.00', '1.00', '2.00']
['3.00', '0.00', '0.00']
['-0.11', '-0.13', '6.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['1.00', '1.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['-0.53', '0.99', '4.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['1.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '0.00', '0.00']
['-0.68', '-0.90', '6.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['1.00', '1.00', '1.00']
['3.00', '0.00', '0.00']
['3.00', '3.00', '1.00']
['3.00', '2.00', '1.00']
['2.00', '3.00', '1.00']
['2.00', '2.00', '1.00']
['4.00', '2.00', '1.00']
['1.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['0.17', '-0.87', '5.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['-0.53', '0.99', '4.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['1.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['0.17', '-0.87', '5.00']
['3.00', '0.00', '0.00']
['-0.87', '1.89', '3.00']
['-0.53', '0.99', '4.00']
['2.00', '2.00', '1.00']
['3.00', '0.00', '0.00']
['1.00', '2.00', '1.00']
